Sr. No.,Title,,Citation,Downloaded
1,A Perspective View and Survey of Meta-Learning,vilalta2002perspective,"@article{vilalta2002perspective,
  title={A perspective view and survey of meta-learning},
  author={Vilalta, Ricardo and Drissi, Youssef},
  journal={Artificial intelligence review},
  volume={18},
  pages={77--95},
  year={2002},
  publisher={Springer}
}",No
2,Meta-Learning in Neural Networks: A Survey,hospedales2021meta,"@article{hospedales2021meta,
  title={Meta-learning in neural networks: A survey},
  author={Hospedales, Timothy and Antoniou, Antreas and Micaelli, Paul and Storkey, Amos},
  journal={IEEE transactions on pattern analysis and machine intelligence},
  volume={44},
  number={9},
  pages={5149--5169},
  year={2021},
  publisher={IEEE}
}",Yes
3,A survey of deep meta‑learning,huisman2021survey,"@article{huisman2021survey,
  title={A survey of deep meta-learning},
  author={Huisman, Mike and Van Rijn, Jan N and Plaat, Aske},
  journal={Artificial Intelligence Review},
  volume={54},
  number={6},
  pages={4483--4541},
  year={2021},
  publisher={Springer}
}",Yes
4,Meta-Learning: A Survey,vanschoren2018meta,"@article{vanschoren2018meta,
  title={Meta-learning: A survey},
  author={Vanschoren, Joaquin},
  journal={arXiv preprint arXiv:1810.03548},
  year={2018}
}",Yes
5,A Comprehensive Overview and Survey of Recent Advances in Meta-Learning,peng2020comprehensive,"@article{peng2020comprehensive,
  title={A comprehensive overview and survey of recent advances in meta-learning},
  author={Peng, Huimin},
  journal={arXiv preprint arXiv:2004.11149},
  year={2020}
}",Yes
6,Meta-learning approaches for learning-to-learn in deep learning: A survey,tian2022meta,"@article{tian2022meta,
  title={Meta-learning approaches for learning-to-learn in deep learning: A survey},
  author={Tian, Yingjie and Zhao, Xiaoxi and Huang, Wei},
  journal={Neurocomputing},
  volume={494},
  pages={203--223},
  year={2022},
  publisher={Elsevier}
}",Yes
7,Multimodality in meta-learning: A comprehensive survey,ma2022multimodality,"@article{ma2022multimodality,
  title={Multimodality in meta-learning: A comprehensive survey},
  author={Ma, Yao and Zhao, Shilin and Wang, Weixiao and Li, Yaoman and King, Irwin},
  journal={Knowledge-Based Systems},
  volume={250},
  pages={108976},
  year={2022},
  publisher={Elsevier}
}",Yes
8,Meta-learning for Few-shot Natural Language Processing: A Survey,yin2020meta,"@article{yin2020meta,
  title={Meta-learning for few-shot natural language processing: A survey},
  author={Yin, Wenpeng},
  journal={arXiv preprint arXiv:2007.09604},
  year={2020}
}",Yes
9,A Literature Survey and Empirical Study of Meta-Learning for Classifier Selection,khan2020literature,"@article{khan2020literature,
  title={A literature survey and empirical study of meta-learning for classifier selection},
  author={Khan, Irfan and Zhang, Xianchao and Rehman, Mobashar and Ali, Rahman},
  journal={IEEE Access},
  volume={8},
  pages={10262--10281},
  year={2020},
  publisher={IEEE}
}",Yes
10,Meta-learning approaches for few-shot learning: A survey of recent advances,gharoun2023meta,"@article{gharoun2023meta,
  title={Meta-learning approaches for few-shot learning: A survey of recent advances},
  author={Gharoun, Hassan and Momenifar, Fereshteh and Chen, Fang and Gandomi, Amir},
  journal={ACM Computing Surveys},
  year={2023},
  publisher={ACM New York, NY}
}",Yes
11,Meta Learning for Natural Language Processing: A Survey,lee2022meta,"@article{lee2022meta,
  title={Meta learning for natural language processing: A survey},
  author={Lee, Hung-yi and Li, Shang-Wen and Vu, Ngoc Thang},
  journal={arXiv preprint arXiv:2205.01500},
  year={2022}
}",Yes
12,A survey & current research challenges in meta learning approaches based on dataset characteristics,bhatt2012survey,"@article{bhatt2012survey,
  title={A survey \& current research challenges in meta learning approaches based on dataset characteristics},
  author={Bhatt, Nikita and Thakkar, Amit and Ganatra, Amit},
  journal={International Journal of soft computing and Engineering},
  volume={2},
  number={10},
  pages={234--247},
  year={2012},
  publisher={Citeseer}
}",Yes
13,Meta-learning in natural and artificial intelligence,wang2021meta,"@article{wang2021meta,
  title={Meta-learning in natural and artificial intelligence},
  author={Wang, Jane X},
  journal={Current Opinion in Behavioral Sciences},
  volume={38},
  pages={90--95},
  year={2021},
  publisher={Elsevier}
}",Yes
14,Advances and Challenges in Meta-Learning: A Technical Review,vettoruzzo2024advances,"@article{vettoruzzo2024advances,
  title={Advances and challenges in meta-learning: A technical review},
  author={Vettoruzzo, Anna and Bouguelia, Mohamed-Rafik and Vanschoren, Joaquin and Rognvaldsson, Thorsteinn and Santosh, KC},
  journal={IEEE Transactions on Pattern Analysis and Machine Intelligence},
  year={2024},
  publisher={IEEE}
}",Yes
15,Meta-seg: A survey of meta-learning for image segmentation,luo2022meta,"@article{luo2022meta,
  title={Meta-seg: A survey of meta-learning for image segmentation},
  author={Luo, Shuai and Li, Yujie and Gao, Pengxiang and Wang, Yichuan and Serikawa, Seiichi},
  journal={Pattern Recognition},
  volume={126},
  pages={108586},
  year={2022},
  publisher={Elsevier}
}",Yes
16,Meta-features for meta-learning,rivolli2022meta,"@article{rivolli2022meta,
  title={Meta-features for meta-learning},
  author={Rivolli, Adriano and Garcia, Lu{\'\i}s PF and Soares, Carlos and Vanschoren, Joaquin and de Carvalho, Andr{\'e} CPLF},
  journal={Knowledge-Based Systems},
  volume={240},
  pages={108101},
  year={2022},
  publisher={Elsevier}
}",Yes
17,Application of meta-learning in cyberspace security: a survey,yang2023application,"@article{yang2023application,
  title={Application of meta-learning in cyberspace security: A survey},
  author={Yang, Aimin and Lu, Chaomeng and Li, Jie and Huang, Xiangdong and Ji, Tianhao and Li, Xichang and Sheng, Yichao},
  journal={Digital Communications and Networks},
  volume={9},
  number={1},
  pages={67--78},
  year={2023},
  publisher={Elsevier}
}",Yes
18,Cross-disciplinary perspectives on meta-learning for algorithm selection,smith2009cross,"@article{smith2009cross,
  title={Cross-disciplinary perspectives on meta-learning for algorithm selection},
  author={Smith-Miles, Kate A},
  journal={ACM Computing Surveys (CSUR)},
  volume={41},
  number={1},
  pages={1--25},
  year={2009},
  publisher={ACM New York, NY, USA}
}",Yes
19,Meta-Learning With Landmarking: A Survey,balte2014meta,"@article{balte2014meta,
  title={Meta-learning with landmarking: A survey},
  author={Balte, Ashvini and Pise, Nitin and Kulkarni, Parag},
  journal={International Journal of Computer Applications},
  volume={105},
  number={8},
  year={2014},
  publisher={Foundation of Computer Science}
}",Yes
20,A Survey on Meta-learning Based Few-Shot Classification,huang2021survey,"@inproceedings{huang2021survey,
  title={A survey on meta-learning based few-shot classification},
  author={Huang, Weizhi and He, Ming and Wang, Yongle},
  booktitle={International Conference on Machine Learning and Intelligent Communications},
  pages={243--253},
  year={2021},
  organization={Springer}
}",No
21,MetaSeg: A survey of meta-learning for image segmentation,sun2021metaseg,"@article{sun2021metaseg,
  title={MetaSeg: A survey of meta-learning for image segmentation},
  author={Sun, Jiaxing and Li, Yujie},
  journal={Cognitive Robotics},
  volume={1},
  pages={83--91},
  year={2021},
  publisher={Elsevier}
}",Yes
22,Survey on Automated Machine Learning (AutoML) and Meta learning,doke2021survey,"@inproceedings{doke2021survey,
  title={Survey on automated machine learning (AutoML) and meta learning},
  author={Doke, Ashwini and Gaikwad, Madhava},
  booktitle={2021 12th International Conference on Computing Communication and Networking Technologies (ICCCNT)},
  pages={1--5},
  year={2021},
  organization={IEEE}
}",Yes
23,Doing more with less: meta-reasoning and meta-learning in humans and machines,griffiths2019doing,"@article{griffiths2019doing,
  title={Doing more with less: meta-reasoning and meta-learning in humans and machines},
  author={Griffiths, Thomas L and Callaway, Frederick and Chang, Michael B and Grant, Erin and Krueger, Paul M and Lieder, Falk},
  journal={Current Opinion in Behavioral Sciences},
  volume={29},
  pages={24--30},
  year={2019},
  publisher={Elsevier}
}",Yes
